B,AMERICAN INDIAN/ALASKAN NATIVE,46
B,BLACK,7405
B,BLACK HISPANIC,2777
K,AMERICAN INDIAN/ALASKAN NATIVE,41
K,ASIAN / PACIFIC ISLANDER,1090
K,BLACK,11219
K,WHITE,2635
K,WHITE HISPANIC,3860
M,BLACK,8279
M,BLACK HISPANIC,2053
M,WHITE,1862
Q,AMERICAN INDIAN/ALASKAN NATIVE,87
Q,BLACK HISPANIC,881
Q,WHITE,1358
Q,WHITE HISPANIC,4994
S,ASIAN / PACIFIC ISLANDER,143
S,BLACK,1219
S,BLACK HISPANIC,135
S,UNKNOWN,9
S,WHITE,851
B,ASIAN / PACIFIC ISLANDER,217
B,UNKNOWN,69
B,WHITE,538
B,WHITE HISPANIC,4724
K,BLACK HISPANIC,1117
K,UNKNOWN,62
M,AMERICAN INDIAN/ALASKAN NATIVE,59
M,ASIAN / PACIFIC ISLANDER,648
M,UNKNOWN,64
M,WHITE HISPANIC,4102
Q,ASIAN / PACIFIC ISLANDER,2016
Q,BLACK,5756
Q,UNKNOWN,62
S,AMERICAN INDIAN/ALASKAN NATIVE,16
S,WHITE HISPANIC,634
